Instances,STOP_T40,ALNS_T40,GAP_T40,STOP_T60,ALNS_T60,GAP_T60,STOP_T80,ALNS_T80,GAP_T80
11berlin52,2464,2464,0.0,2608,2608,0.0,2608,2608,0.0
11eil51,1503,1503,0.0,2357,2357,0.0,2575,2575,0.0
14st70,1977,1977,0.0,2736,2736,0.0,2988,2988,0.0
16eil76,2195,2195,0.0,2886,2886,0.0,3571,3571,0.0
16pr76,2483,2483,0.0,3402,3402,0.0,3691,3691,0.0
20kroA100,2713,2713,0.0,4520,4520,0.0,4920,4920,0.0
20kroB100,3768,3768,0.0,4668,4668,0.0,4925,4925,0.0
20kroC100,2693,2693,0.0,4046,4046,0.0,4679,4679,0.0
20kroD100,3000,3000,0.0,4053,4053,0.0,4695,4695,0.0
20kroE100,4061,4061,0.0,4614,4614,0.0,4910,4910,0.0
20rat99,2260,2260,0.0,3584,3584,0.0,4516,4516,0.0
20rd100,3913,3913,0.0,4270,4270,0.0,4957,4957,0.0
21eil101,3597,3597,0.0,4606,4606,0.0,5037,5037,0.0
21lin105,3916,3916,0.0,4512,4512,0.0,5075,5075,0.0
22pr107,3390,3390,0.0,3589,3589,0.0,4740,4740,0.0
25pr124,3975,3975,0.0,5126,5126,0.0,5963,5963,0.0
26bier127,6322,6322,0.0,6333,6333,0.0,6333,6333,0.0
26ch130,4675,4675,0.0,6099,6099,0.0,6472,6472,0.0
28pr136,5173,5173,0.0,5988,5988,0.0,6692,6692,0.0
29pr144,5140,5140,0.0,6848,6848,0.0,7087,7087,0.0
30ch150,4583,4583,0.0,6161,6161,0.0,7260,7260,0.0
30kroA150,4264,4264,0.0,6503,6503,0.0,7533,7533,0.0
30kroB150,4323,4323,0.0,7200,7200,0.0,7454,7454,0.0
31pr152,4182,4182,0.0,6458,6458,0.0,7453,7453,0.0
32u159,5979,5979,0.0,7386,7386,0.0,7850,7850,0.0
39rat195,5003,5003,0.0,7775,7775,0.0,9262,9262,0.0
40d198,-,0,-,2698,2698,0.0,9150,9150,0.0
40kroa200,7162,7162,0.0,9611,9611,0.0,10058,10058,0.0
40krob200,7279,7279,0.0,9476,9476,0.0,9993,10058,0.006504553187231062
45ts225,7595,7595,0.0,10191,10191,0.0,11308,11308,0.0
45tsp225,4709,4709,0.0,8893,8893,0.0,10680,10680,0.0
46pr226,9271,9271,0.0,10312,10312,0.0,10813,10784,-0.0026819569037269952
53gil262,7512,7512,0.0,11227,11227,0.0,12620,12720,0.00792393026941363
53pr264,11788,11788,0.0,12658,12658,0.0,12658,12658,0.0
56a280,9060,8837,-0.024613686534216337,11688,11688,0.0,13244,13244,0.0
60pr299,8927,8927,0.0,13483,13483,0.0,14688,14688,0.0
64lin318,13489,13489,0.0,15067,15127,0.003982212782903033,15954,15954,0.0
80rd400,17256,17256,0.0,20034,20049,0.0007487271638215035,20158,20158,0.0
84fl417,19001,19101,0.00526288090100521,19822,19822,0.0,20117,20117,0.0
88pr439,18913,18913,0.0,22046,22046,0.0,22177,22177,0.0
89pcb442,17340,17340,0.0,21759,21759,0.0,22323,22323,0.0
99d493,155,0,-1.0,13624,13624,0.0,23441,23730,0.0123288255620494
115rat575,19495,19510,0.0007694280584765325,25985,26197,0.008158553011352704,28860,28870,0.0003465003465003465
115u574,22701,22714,0.0005726619972688428,28516,28583,0.0023495581427970262,28957,28957,0.0
131p654,27743,27743,0.0,30556,30709,0.005007199895274251,32037,32037,0.0
132d657,12641,12645,0.00031643066213116053,27860,27919,0.0021177315147164395,32827,32871,0.0013403600694550219
145u724,26528,26203,-0.012251206272617611,34445,34462,0.0004935404267673102,36417,36417,0.0
157rat783,28089,28089,0.0,36727,36946,0.0059629155662046995,39517,39517,0.0
201pr1002,40250,40324,0.0018385093167701864,48574,49019,0.00916127969695722,50583,50583,0.0
212u1060,47728,47776,0.0010056989607777405,52815,53070,0.004828173814257313,53468,53548,0.0014962220393506397
217vm1084,51972,51989,0.00032709920726545065,54441,54614,0.0031777520618651383,54712,54712,0.0
