Instances,STOP_T40,ALNS_T40,GAP_T40,STOP_T60,ALNS_T60,GAP_T60,STOP_T80,ALNS_T80,GAP_T80
11berlin52,37,37,0,40,40,0,41,41,0
11eil51,22,22,0,28,28,0,36,36,0
14st70,20,20,0,33,33,0,43,43,0
16eil76,32,32,0,45,45,0,53,53,0
16pr76,27,27,0,41,41,0,60,60,0
20kroA100,30,30,0,54,54,0,68,68,0
20kroB100,39,39,0,55,55,0,66,66,0
20kroC100,16,16,0,44,44,0,64,64,0
20kroD100,28,28,0,45,45,0,54,54,0
20kroE100,42,42,0,55,55,0,59,59,0
20rat99,12,12,0,30,30,0,46,46,0
20rd100,33,33,0,43,43,0,65,65,0
21eil101,43,43,0,66,66,0,83,83,0
21lin105,29,29,0,37,37,0,57,57,0
22pr107,23,23,0,35,35,0,41,41,0
25pr124,34,34,0,48,48,0,81,81,0
26bier127,105,105,0,115,115,0,120,120,0
26ch130,49,49,0,79,79,0,100,100,0
28pr136,33,33,0,51,51,0,81,81,0
29pr144,34,34,0,59,59,0,88,88,0
30ch150,37,37,0,65,65,0,100,100,0
30kroA150,43,43,0,79,79,0,104,104,0
30kroB150,49,49,0,84,84,0,113,113,0
31pr152,20,20,0,49,49,0,79,79,0
32u159,40,40,0.0,72,72,0.0,95,95,0
39rat195,38,38,0,67,67,0,105,105,0
40d198,-,0,#VALUE!,6,6,0,86,86,0
40kroa200,66,66,0,111,111,0,154,154,0
40krob200,65,65,0,113,113,0,143,143,0
45ts225,61,61,0,108,108,0,149,149,0
45tsp225,31,31,0,71,71,0,125,125,0
46pr226,48,48,0,89,89,0,141,141,0
53gil262,53,53,0,93,93,0,166,166,0
53pr264,111,111,0,131,131,0,131,131,0
56a280,61,61,0,117,117,0,159,159,0
60pr299,53,53,0,126,126,0,164,164,0
64lin318,94,94,0,164,164,0,249,249,0
80rd400,188,188,0,274,274,0,351,351,0.0
84fl417,194,194,0,235,235,0,261,259,-0.007662835249042145
88pr439,170,170,0,352,352,0,409,409,0
89pcb442,140,140,0,268,268,0,359,359,0.0
99d493,1,1,0,46,46,0,359,360,0.00278551532033426
115rat575,190,190,0,313,313,0.0,427,428,0.00234192037470726
115u574,196,196,0,324,324,0,477,477,0.0
131p654,165,165,0,325,325,0,460,460,0
132d657,110,110,0,308,308,0,488,487,-0.0020491803278688526
145u724,254,254,0,399,399,0.0,571,571,0.0
157rat783,273,273,0,441,441,0,617,616,-0.0016207455429497568
201pr1002,400,398,-0.005,659,655,-0.006069802731411229,872,862,-0.011467889908256881
212u1060,479,477,-0.0041753653444676405,704,693,-0.015625,965,959,-0.0062176165803108805
217vm1084,575,570,-0.00869565217391304,817,818,0.0012239902080783353,992,984,-0.008064516129032258
