Instances,STOP_T40,ALNS_T40,GAP_T40,STOP_T60,ALNS_T60,GAP_T60,STOP_T80,ALNS_T80,GAP_T80
11berlin52,37,37,0.0,43,43,0.0,47,47,0.0
11eil51,24,24,0.0,39,39,0.0,43,43,0.0
14st70,33,33,0.0,50,50,0.0,65,65,0.0
16eil76,40,40,0.0,59,59,0.0,69,69,0.0
16pr76,47,47,0.0,65,65,0.0,72,72,0.0
20kroA100,42,42,0.0,65,65,0.0,79,79,0.0
20kroB100,49,49,0.0,66,66,0.0,86,86,0.0
20kroC100,42,42,0.0,62,62,0.0,83,83,0.0
20kroD100,39,39,0.0,64,64,0.0,85,85,0.0
20kroE100,52,52,0.0,63,63,0.0,80,80,0.0
20rat99,37,37,0.0,52,52,0.0,79,79,0.0
20rd100,45,45,0.0,72,72,0.0,91,91,0.0
21eil101,67,67,0.0,82,82,0.0,91,91,0.0
21lin105,50,50,0.0,78,78,0.0,90,90,0.0
22pr107,41,41,0.0,53,53,0.0,65,65,0.0
25pr124,46,46,0.0,75,75,0.0,99,99,0.0
26bier127,110,110,0.0,118,118,0.0,123,123,0.0
26ch130,70,70,0.0,99,99,0.0,117,117,0.0
28pr136,53,53,0.0,89,89,0.0,123,123,0.0
29pr144,60,60,0.0,98,98,0.0,125,125,0.0
30ch150,61,61,0.0,96,96,0.0,127,127,0.0
30kroA150,58,58,0.0,90,90,0.0,120,120,0.0
30kroB150,66,66,0.0,105,105,0.0,138,138,0.0
31pr152,57,39,-0.3157894736842105,105,105,0.0,118,118,0.0
32u159,76,75,-0.013157894736842105,114,113,-0.008771929824561403,140,139,-0.007142857142857143
39rat195,71,71,0.0,118,118,0.0,167,167,0.0
40d198,70,70,0.0,160,160,0.0,171,171,0.0
40kroa200,92,92,0.0,142,142,0.0,184,184,0.0
40krob200,87,87,0.0,138,138,0.0,179,179,0.0
45ts225,101,101,0.0,152,152,0.0,193,193,0.0
45tsp225,80,80,0.0,148,148,0.0,198,198,0.0
46pr226,86,86,0.0,162,162,0.0,213,213,0.0
53gil262,105,105,0.0,177,177,0.0,226,226,0.0
53pr264,128,128,0.0,162,162,0.0,238,238,0.0
56a280,107,107,0.0,164,164,0.0,232,232,0.0
60pr299,131,131,0.0,187,187,0.0,270,270,0.0
64lin318,169,169,0.0,256,256,0.0,295,295,0.0
80rd400,209,209,0.0,295,297,0.006779661016949152,364,361,-0.008241758241758242
84fl417,201,201,0.0,290,290,0.0,399,399,0.0
88pr439,335,335,0.0,385,385,0.0,418,419,0.0023923444976076554
89pcb442,224,224,0.0,327,327,0.0,403,403,0.0
99d493,278,278,0.0,407,407,0.0,469,469,0.0
115rat575,264,264,0.0,399,399,0.0,500,502,0.004
115u574,277,277,0.0,448,448,0.0,542,542,0.0
131p654,315,315,0.0,529,529,0.0,637,637,0.0
132d657,308,308,0.0,481,481,0.0,596,596,0.0
145u724,329,329,0.0,519,519,0.0,654,653,-0.0015290519877675841
157rat783,351,351,0.0,530,528,-0.0037735849056603774,669,668,-0.0014947683109118087
201pr1002,539,539,0.0,779,780,0.0012836970474967907,930,932,0.002150537634408602
212u1060,577,578,0.0017331022530329288,833,832,-0.0012004801920768306,1011,1008,-0.002967359050445104
217vm1084,670,669,-0.0014925373134328358,874,872,-0.002288329519450801,1005,1002,-0.0029850746268656717
