Instances,STOP_T40,ALNS_T40,GAP_T40,STOP_T60,ALNS_T60,GAP_T60,STOP_T80,ALNS_T80,GAP_T80
11berlin52,1829,1829,0.0,2190,2190,0.0,2384,2384,0.0
11eil51,1279,1279,0.0,1911,1911,0.0,2114,2114,0.0
14st70,1672,1672,0.0,2589,2589,0.0,3355,3355,0.0
16eil76,2223,2223,0.0,3119,3119,0.0,3573,3573,0.0
16pr76,2449,2449,0.0,3275,3275,0.0,3611,3611,0.0
20kroA100,2151,2151,0.0,3192,3192,0.0,4115,4115,0.0
20kroB100,2431,2431,0.0,3203,3203,0.0,4188,4188,0.0
20kroC100,2174,2174,0.0,3110,3110,0.0,3999,3999,0.0
20kroD100,1740,1740,0.0,3133,3133,0.0,4267,4267,0.0
20kroE100,2415,2415,0.0,2950,2950,0.0,4002,4002,0.0
20rat99,1905,1905,0.0,2643,2643,0.0,3992,3992,0.0
20rd100,2228,2228,0.0,3591,3591,0.0,4640,4640,0.0
21eil101,3365,3365,0.0,4187,4187,0.0,4717,4717,0.0
21lin105,2489,2489,0.0,3955,3955,0.0,4561,4561,0.0
22pr107,2123,2123,0.0,2697,2697,0.0,3275,3275,0.0
25pr124,2302,2302,0.0,3763,3763,0.0,4947,4947,0.0
26bier127,5420,5420,0.0,5882,5882,0.0,6218,6218,0.0
26ch130,3423,3423,0.0,5123,5123,0.0,5967,5967,0.0
28pr136,2699,2699,0.0,4579,4579,0.0,6330,6330,0.0
29pr144,3055,3055,0.0,4947,4947,0.0,6356,6356,0.0
30ch150,3131,3131,0.0,4825,4825,0.0,6382,6382,0.0
30kroA150,3039,3039,0.0,4542,4542,0.0,6081,6081,0.0
30kroB150,3172,3172,0.0,5123,5123,0.0,6880,6880,0.0
31pr152,2915,2915,0.0,5235,5235,0.0,5928,5928,0.0
32u159,4002,3982,-0.004997501249375313,5906,5886,-0.0033863867253640365,7164,7144,-0.0027917364600781687
39rat195,3656,3656,0.0,5846,5846,0.0,8522,8522,0.0
40d198,3595,3595,0.0,8102,8102,0.0,8628,8628,0.0
40kroa200,4550,4550,0.0,7105,7105,0.0,9338,9338,0.0
40krob200,4348,4348,0.0,6943,6943,0.0,9077,9077,0.0
45ts225,5037,5037,0.0,7948,7948,0.0,9888,9888,0.0
45tsp225,4297,4297,0.0,7603,7603,0.0,10030,10030,0.0
46pr226,4403,4403,0.0,8280,8280,0.0,10770,10770,0.0
53gil262,5330,5330,0.0,8864,8864,0.0,11606,11606,0.0
53pr264,6423,6423,0.0,8404,8404,0.0,12048,12048,0.0
56a280,5630,5630,0.0,8470,8470,0.0,11984,11984,0.0
60pr299,6600,6600,0.0,9544,9544,0.0,13653,13653,0.0
64lin318,8600,8600,0.0,13188,13188,0.0,15103,15103,0.0
80rd400,10971,10971,0.0,15241,15241,0.0,18681,18681,0.0
84fl417,10163,10163,0.0,15007,15007,0.0,20258,20258,0.0
88pr439,17082,17082,0.0,19642,19642,0.0,21107,21134,0.0012791964751030463
89pcb442,11627,11627,0.0,16644,16644,0.0,20319,20319,0.0
99d493,14131,14131,0.0,20618,20618,0.0,23750,23800,0.002105263157894737
115rat575,13367,13367,0.0,20175,20175,0.0,25340,25340,0.0
115u574,14094,14094,0.0,22812,22812,0.0,27475,27475,0.0
131p654,16003,16003,0.0,26905,26905,0.0,32335,32335,0.0
132d657,15974,15974,0.0,24520,24520,0.0,30641,30787,0.004764857543813845
145u724,17368,17368,0.0,26781,26846,0.0024270938351816586,33259,33367,0.0032472413482065006
157rat783,18244,18244,0.0,26973,26973,0.0,34259,34404,0.004232464461893225
201pr1002,27628,27628,0.0,39439,39646,0.005248611780217551,47145,47125,-0.00042422314137236184
212u1060,29002,29115,0.0038962830149644853,41756,42105,0.008358080275888495,50915,51247,0.006520671707748208
217vm1084,34400,34400,0.0,44733,44743,0.00022354861064538485,51529,51724,0.00378427681499738
