Instances,STOP_T40,ALNS_T40,GAP_T40,STOP_T60,ALNS_T60,GAP_T60,STOP_T80,ALNS_T80,GAP_T80
11berlin52,50,50,0.0,51,51,0.0,51,51,0.0
11eil51,37,37,0.0,50,50,0.0,50,50,0.0
14st70,56,11,-0.8035714285714286,64,64,0.0,69,69,0.0
16eil76,51,51,0.0,74,74,0.0,75,75,0.0
16pr76,70,70,0.0,74,74,0.0,75,75,0.0
20kroA100,80,80,0.0,98,98,0.0,99,99,0.0
20kroB100,86,86,0.0,98,98,0.0,99,99,0.0
20kroC100,72,72,0.0,93,93,0.0,99,99,0.0
20kroD100,78,78,0.0,93,93,0.0,99,99,0.0
20kroE100,90,90,0.0,97,97,0.0,99,99,0.0
20rat99,73,73,0.0,87,87,0.0,98,98,0.0
20rd100,82,82,0.0,99,99,0.0,99,99,0.0
21eil101,83,83,0.0,97,97,0.0,100,100,0.0
21lin105,95,95,0.0,104,104,0.0,104,104,0.0
22pr107,94,94,0.0,106,106,0.0,106,106,0.0
25pr124,101,101,0.0,119,119,0.0,123,123,0.0
26bier127,125,125,0.0,126,126,0.0,126,126,0.0
26ch130,111,111,0.0,127,127,0.0,129,129,0.0
28pr136,120,120,0.0,132,132,0.0,135,135,0.0
29pr144,137,137,0.0,141,141,0.0,143,143,0.0
30ch150,114,114,0.0,145,145,0.0,149,149,0.0
30kroA150,110,110,0.0,145,145,0.0,149,149,0.0
30kroB150,120,120,0.0,147,147,0.0,149,149,0.0
31pr152,136,136,0.0,151,151,0.0,151,151,0.0
32u159,143,143,0.0,156,156,0.0,158,158,0.0
39rat195,135,135,0.0,178,178,0.0,194,194,0.0
40d198,149,149,0.0,196,196,0.0,196,196,0.0
40kroa200,173,173,0.0,198,198,0.0,199,199,0.0
40krob200,162,162,0.0,198,198,0.0,199,199,0.0
45ts225,198,198,0.0,224,224,0.0,224,224,0.0
45tsp225,167,167,0.0,213,213,0.0,224,224,0.0
46pr226,207,207,0.0,221,220,-0.004524886877828055,225,225,0.0
53gil262,204,204,0.0,253,253,0.0,261,261,0.0
53pr264,245,245,0.0,252,252,0.0,263,263,0.0
56a280,204,200,-0.0196078431372549,258,260,0.007751937984496124,279,279,0.0
60pr299,254,254,0.0,286,286,0.0,298,298,0.0
64lin318,289,289,0.0,316,316,0.0,317,317,0.0
80rd400,354,354,0.0,398,398,0.0,399,399,0.0
84fl417,371,372,0.0026954177897574125,407,407,0.0,416,416,0.0
88pr439,432,433,0.0023148148148148147,438,438,0.0,438,438,0.0
89pcb442,382,382,0.0,440,441,0.0022727272727272726,441,441,0.0
99d493,413,414,0.002421307506053269,488,489,0.0020491803278688526,492,492,0.0
115rat575,425,425,0.0,550,549,-0.0018181818181818182,574,574,0.0
115u574,512,514,0.00390625,572,573,0.0017482517482517483,573,573,0.0
131p654,606,606,0.0,642,642,0.0,653,653,0.0
132d657,524,528,0.007633587786259542,650,649,-0.0015384615384615385,656,656,0.0
145u724,603,609,0.009950248756218905,720,721,0.001388888888888889,723,723,0.0
157rat783,583,583,0.0,753,756,0.00398406374501992,782,782,0.0
201pr1002,887,891,0.004509582863585118,996,996,0.0,1001,1001,0.0
212u1060,971,971,0.0,1058,1059,0.000945179584120983,1059,1059,0.0
217vm1084,1051,1051,0.0,1083,1083,0.0,1083,1083,0.0
