Instances,STOP_T40,ALNS_T40,GAP_T40,STOP_T60,ALNS_T60,GAP_T60,STOP_T80,ALNS_T80,GAP_T80
11berlin52,48,48,0.0,49,49,0.0,51,51,0.0
11eil51,17,17,0.0,34,34,0.0,46,46,0.0
14st70,28,28,0.0,47,47,0.0,56,56,0.0
16eil76,37,37,0.0,52,52,0.0,61,61,0.0
16pr76,43,38,-0.11627906976744186,56,56,0.0,68,68,0.0
20kroA100,39,39,0.0,73,73,0.0,95,95,0.0
20kroB100,60,60,0.0,82,82,0.0,93,93,0.0
20kroC100,37,37,0.0,60,60,0.0,86,86,0.0
20kroD100,54,54,0.0,67,67,0.0,88,88,0.0
20kroE100,65,65,0.0,86,86,0.0,90,90,0.0
20rat99,34,34,0.0,53,53,0.0,62,62,0.0
20rd100,63,63,0.0,78,78,0.0,80,80,0.0
21eil101,56,56,0.0,79,79,0.0,89,89,0.0
21lin105,41,41,0.0,82,82,0.0,86,86,0.0
22pr107,67,67,0.0,70,70,0.0,73,73,0.0
25pr124,66,66,0.0,83,83,0.0,104,104,0.0
26bier127,124,124,0.0,126,126,0.0,126,126,0.0
26ch130,84,84,0.0,107,107,0.0,125,125,0.0
28pr136,66,66,0.0,111,111,0.0,114,114,0.0
29pr144,91,91,0.0,109,109,0.0,137,137,0.0
30ch150,85,85,0.0,102,102,0.0,124,124,0.0
30kroA150,60,60,0.0,112,112,0.0,136,136,0.0
30kroB150,50,50,0.0,101,101,0.0,145,145,0.0
31pr152,74,74,0.0,89,89,0.0,125,125,0.0
32u159,71,71,0.0,118,118,0.0,140,140,0.0
39rat195,73,73,0.0,113,113,0.0,161,161,0.0
40d198,-,0,-,-,0,-,49,49,0.0
40kroa200,102,102,0.0,159,159,0.0,194,194,0.0
40krob200,124,124,0.0,169,169,0.0,190,190,0.0
45ts225,106,106,0.0,170,170,0.0,208,208,0.0
45tsp225,54,54,0.0,103,103,0.0,164,164,0.0
46pr226,182,182,0.0,192,192,0.0,206,206,0.0
53gil262,89,89,0.0,172,167,-0.029069767441860465,227,227,0.0
53pr264,195,195,0.0,248,248,0.0,252,252,0.0
56a280,130,124,-0.046153846153846156,209,203,-0.028708133971291867,235,234,-0.00425531914893617
60pr299,112,112,0.0,189,189,0.0,262,262,0.0
64lin318,194,194,0.0,279,279,0.0,297,297,0.0
80rd400,304,304,0.0,384,385,0.0026041666666666665,399,399,0.0
84fl417,359,359,0.0,372,372,0.0,386,389,0.007772020725388601
88pr439,314,314,0.0,397,397,0.0,436,437,0.0022935779816513763
89pcb442,281,281,0.0,381,381,0.0,435,435,0.0
99d493,-,0,-,3,0,-1.0,238,238,0.0
115rat575,333,333,0.0,469,469,0.0,542,546,0.007380073800738007
115u574,351,345,-0.017094017094017096,502,502,0.0,563,565,0.003552397868561279
131p654,504,504,0.0,547,547,0.0,577,577,0.0
132d657,22,22,0.0,297,297,0.0,542,543,0.0018450184501845018
145u724,439,432,-0.015945330296127564,623,622,-0.0016051364365971107,705,707,0.0028368794326241137
157rat783,471,471,0.0,675,675,0.0,754,758,0.005305039787798408
201pr1002,673,672,-0.0014858841010401188,902,905,0.0033259423503325942,976,985,0.009221311475409836
212u1060,855,868,0.0152046783625731,1015,1019,0.003940886699507389,1053,1055,0.001899335232668566
217vm1084,992,994,0.0020161290322580645,1062,1065,0.002824858757062147,1083,1083,0.0
