Instances,STOP_T40,ALNS_T40,GAP_T40,STOP_T60,ALNS_T60,GAP_T60,STOP_T80,ALNS_T80,GAP_T80
11berlin52,2440,2440,0,2464,2464,0,2608,2608,0
11eil51,872,872,0,1737,1737,0,2467,2467,0
14st70,1220,1220,0,2285,2285,0,2736,2736,0
16eil76,1731,1731,0,2572,2572,0,3028,3028,0
16pr76,1976,1706,-0.13663967611336,2779,2779,0,3318,3318,0
20kroA100,1872,1872,0,3616,3616,0,4798,4798,0
20kroB100,2995,2995,0,3997,3997,0,4668,4668,0
20kroC100,1924,1924,0,3013,3013,0,4380,4380,0
20kroD100,2626,2626,0,3333,3333,0,4302,4302,0
20kroE100,3557,3557,0,4364,4364,0,4614,4614,0
20rat99,1867,1867,0,2736,2736,0,3285,3285,0
20rd100,3101,3101,0,4002,4002,0,4038,4038,0
21eil101,2955,2955,0,4059,4059,0,4647,4647,0
21lin105,1974,1974,0,3996,3996,0,4216,4216,0
22pr107,3270,3270,0,3390,3390,0,3589,3589,0
25pr124,3082,3082,0,4066,4066,0,5126,5126,0
26bier127,6262,6262,0,6333,6333,0,6333,6333,0
26ch130,4347,4347,0,5453,5453,0,6240,6240,0
28pr136,3316,3316,0,5807,5807,0,5988,5988,0
29pr144,4713,4713,0,5533,5533,0,6848,6848,0
30ch150,4276,4276,0,5056,5056,0,6216,6216,0
30kroA150,2822,2822,0,5517,5517,0,6893,6893,0
30kroB150,2525,2525,0,5386,5386,0,7335,7335,0
31pr152,3514,3514,0,4182,4182,0,6019,6019,0
32u159,3811,3811,0,6267,6267,0,7378,7378,0
39rat195,3656,3656,0,5718,5718,0,8108,8108,0
40d198,-,0,#VALUE!,-,0,#VALUE!,2698,2698,0
40kroa200,5094,5094,0,8184,8184,0,9888,9888,0
40krob200,6032,6032,0,8666,8666,0,9705,9705,0
45ts225,5265,5265,0,8740,8740,0,10278,10278,0
45tsp225,2416,2416,0,5212,5212,0,8185,8185,0
46pr226,9065,9065,0,9539,9539,0,10312,10312,0
53gil262,4331,4331,0,8798,8798,0,11398,11398,0
53pr264,9648,9648,0,12482,12482,0,12658,12658,0
56a280,6514,6514,0,10666,10666,0,11876,11797,-0.0066520714045133
60pr299,6117,6117,0,10049,10049,0,13483,13483,0
64lin318,9572,9572,0,14138,14138,0,14947,14947,0
80rd400,15487,15487,0,19594,19669,0.00382770235786465,20158,20158,0.0
84fl417,18557,18557,0,19134,19134,0,19772,19689,-0.004197855553307708
88pr439,15614,15614,0,20055,20055,0,22166,22166,0
89pcb442,14504,14504,0.0,19379,19379,0,22003,22003,0
99d493,-,0,#VALUE!,155,155,0,12460,12460,0
115rat575,17175,17148,-0.00157205240174672,24073,24073,0.0,27405,27554,0.00543696405765371
115u574,17605,17603,-0.000113604089747231,25916,25909,-0.000270103411020219,28665,28665,0
131p654,25653,25653,0,27743,27743,0,29048,29048,0
132d657,1273,1273,0,15277,15282,0.000327289389278,27482,27482,0
145u724,22017,21836,-0.0082209201980288,30899,30720,-0.00579306773681996,35500,35495,-0.000140845070422535
157rat783,24129,23966,-0.00675535662480832,34139,33936,-0.00594627844986672,38155,38329,0.00456034595727952
201pr1002,34311,34116,-0.00568330855993705,45966,45696,-0.00587390680067876,49526,49872,0.00698622945523563
212u1060,43832,44060,0.00520167913852893,51429,51429,0,53310,53348,0.000712811855186644
217vm1084,50415,50244,-0.0033918476643856,53587,53701,0.00212738164106966,54712,54712,0
