Instances,STOP_T40,ALNS_T40,GAP_T40,STOP_T60,ALNS_T60,GAP_T60,STOP_T80,ALNS_T80,GAP_T80
11berlin52,32,32,0,37,37,0,37,37,0
11eil51,12,12,0,22,22,0,32,32,0
14st70,20,20,0,20,20,0,33,33,0
16eil76,11,11,0,34,34,0,45,45,0
16pr76,16,16,0,27,27,0,41,41,0
20kroA100,19,19,0,34,34,0,56,56,0
20kroB100,30,30,0,39,39,0,57,57,0
20kroC100,12,12,0,18,18,0,52,52,0
20kroD100,23,23,0,28,28,0,44,44,0
20kroE100,28,28,0,45,45,0,55,55,0
20rat99,12,12,0,12,12,0,30,30,0
20rd100,19,19,0,33,33,0,43,43,0
21eil101,40,40,0,45,45,0,71,71,0
21lin105,15,15,0,29,29,0,31,31,0
22pr107,18,18,0,23,23,0,29,29,0
25pr124,26,26,0,34,34,0,46,46,0
26bier127,95,95,0,110,110,0,117,116,-0.00854700854700855
26ch130,33,33,0,61,61,0,84,84,0
28pr136,26,26,0,33,33,0,49,49,0
29pr144,24,24,0,42,42,0,64,64,0
30ch150,31,31,0,44,44,0,69,69,0
30kroA150,27,27,0,55,55,0,86,86,0
30kroB150,31,31,0,58,58,0,77,77,0
31pr152,19,19,0,20,20,0,47,47,0
32u159,19,19,0.0,40,40,0.0,78,78,0.0
39rat195,19,19,0,45,45,0,68,68,0
40d198,-,0,#VALUE!,-,0,#VALUE!,6,6,0
40kroa200,38,38,0,79,79,0,113,113,0
40krob200,52,52,0,84,84,0,117,117,0
45ts225,41,41,0,67,67,0,100,100,0
45tsp225,19,19,0,34,34,0,69,69,0
46pr226,39,39,0,49,49,0,87,87,0
53gil262,32,32,0,58,58,0,88,88,0
53pr264,73,73,0,118,118,0,131,131,0
56a280,40,40,0,71,71,0,124,124,0
60pr299,28,28,0,60,60,0,114,114,0
64lin318,61,61,0,106,106,0,162,162,0
80rd400,158,158,0,248,248,0,327,327,0
84fl417,165,165,0,204,204,0,233,233,0
88pr439,79,79,0,201,201,0,366,366,0
89pcb442,89,89,0,175,175,0,272,272,0
99d493,-,0,#VALUE!,1,1,0,32,32,0
115rat575,118,118,0,221,221,0,332,332,0
115u574,102,102,0,230,230,0,345,345,0
131p654,141,141,0,169,169,0,220,220,0
132d657,9,9,0,122,122,0,277,277,0
145u724,159,159,0,308,308,0,436,436,0
157rat783,190,190,0,332,332,0,481,481,0.0
201pr1002,247,247,0,501,501,0,709,709,0.0
212u1060,406,406,0,594,594,0.0,786,786,0
217vm1084,495,495,0.0,746,737,-0.012064343163538873,964,962,-0.002074688796680498
