Instances,STOP_T40,ALNS_T40,GAP_T40,STOP_T60,ALNS_T60,GAP_T60,STOP_T80,ALNS_T80,GAP_T80
11berlin52,1557,1557,0,1829,1829,0,1829,1829,0
11eil51,593,593,0,1279,1279,0,1624,1624,0
14st70,877,877,0,877,877,0,1672,1672,0
16eil76,613,613,0,1893,1893,0,2494,2494,0
16pr76,736,736,0,1285,1285,0,2022,2022,0
20kroA100,1146,1146,0,1720,1720,0,2789,2789,0
20kroB100,1430,1430,0,1927,1927,0,2826,2826,0
20kroC100,542,542,0,858,858,0,2624,2624,0
20kroD100,1052,1052,0,1293,1293,0,1989,1989,0
20kroE100,1291,1291,0,2098,2098,0,2554,2554,0
20rat99,591,591,0,591,591,0,1470,1470,0
20rd100,924,924,0,1695,1695,0,2178,2178,0
21eil101,2071,2071,0,2286,2286,0,3621,3621,0
21lin105,713,713,0,1436,1436,0,1531,1531,0
22pr107,908,908,0,1182,1182,0,1453,1453,0
25pr124,1310,1310,0,1706,1706,0,2250,2250,0
26bier127,4660,4660,0,5444,5444,0,5797,5797,0
26ch130,1728,1728,0,3236,3236,0,4245,4245,0
28pr136,1452,1452,0,1626,1626,0,2399,2399,0
29pr144,1193,1193,0,2161,2161,0,3289,3289,0
30ch150,1552,1552,0,2100,2100,0,3433,3433,0
30kroA150,1374,1374,0,2693,2693,0,4539,4539,0
30kroB150,1421,1421,0,2652,2652,0,3616,3616,0
31pr152,956,956,0,962,962,0,2372,2372,0
32u159,969,949,-0.0206398348813209,2042,2022,-0.00979431929480901,4157,4137,-0.00481116189559779
39rat195,962,962,0,2267,2267,0,3403,3403,0
40d198,-,0,#VALUE!,-,0,#VALUE!,313,313,0
40kroa200,1750,1750,0,3924,3924,0,5571,5571,0
40krob200,2612,2612,0,4252,4252,0,5901,5901,0
45ts225,2157,2157,0,3609,3609,0,5073,5073,0
45tsp225,891,891,0,1642,1642,0,3412,3412,0
46pr226,2024,2024,0,2507,2507,0,4398,4398,0
53gil262,1575,1575,0,2741,2741,0,4394,4394,0
53pr264,3681,3681,0,5971,5971,0,6588,6588,0
56a280,2109,2109,0,3716,3716,0,6379,6379,0
60pr299,1427,1427,0,3103,3103,0,5778,5778,0
64lin318,2939,2939,0,5364,5364,0,8251,8251,0
80rd400,8277,8277,0,12823,12823,0,16932,16932,0
84fl417,8475,8475,0,10433,10433,0,11840,11840,0.0
88pr439,4025,4025,0,10259,10259,0,18709,18709,0.0
89pcb442,4544,4544,0,9196,9196,0,13816,13816,0
99d493,-,0,#VALUE!,83,83,0,1739,1739,0
115rat575,6060,6060,0,11461,11461,0,16924,16924,0
115u574,5227,5227,0,11813,11813,0,17383,17383,0
131p654,7164,7164,0,8632,8632,0,11134,11134,0
132d657,433,433,0,6470,6470,0,13879,13879,0
145u724,7966,7966,0,15907,15907,0,22102,22102,0
157rat783,9892,9892,0,16878,16878,0,24572,24426,-0.00594172228552824
201pr1002,12457,12457,0,25219,25219,0,35996,35551,-0.0123624847205245
212u1060,20700,20700,0,30093,30005,-0.00292426810221646,39630,38705,-0.0233409033560434
217vm1084,25168,24877,-0.0115623013350286,38043,37833,-0.00552006939515811,49040,48693,-0.00707585644371941
